Station_ID,MLRA,LRU
USW00094849,94C,94C
USC00200166,94C,94C
USC00206184,94C,94C
USC00207094,94C,94C
USC00201492,94C,94C
USC00207277,94C,94C
USC00207742,94B,94B
USW00014824,94B,94B
USC00204090,94B,94B
USW00094893,94B,94B
USC00201802,94B,94B
USC00207274,94B,94B
USC00203268,94B,94B
USC00203078,94B,94B
USC00205073,94B,94B
USC00205591,94B,94B
USC00202094,94B,94B
USC00206583,94B,94B
USC00208293,94B,94B
USC00207515,94B,94B
USC00207190,94B,94B
USC00205816,94B,94B
USW00054810,94B,94B
USC00201486,94B,94B
USC00205810,94B,94B
USW00014847,94B,94B
USC00207364,94B,94B
USC00208043,94B,94B
USW00014859,94B,94B
USC00208920,94B,94B
USC00477708,94B,94B
USC00471044,94B,94B
USC00478376,94B,94B
USC00476510,94B,94B
USC00475091,94B,94B
USC00471897,94B,94B
USC00478978,94B,94B
USC00471039,94B,94B
USC00208800,94A,94AB
USC00202423,94A,94AB
USC00203932,94A,94AB
USC00203930,94A,94AB
USW00094814,94A,94AB
USC00204967,94A,94AB
USC00203529,94A,94AB
USC00203188,94A,94AB
USC00205533,94A,94AB
USC00203391,94A,94AB
USC00205531,94A,94AB
USC00200342,94A,94AB
USC00200343,94A,94AB
USC00208417,94A,94AB
USC00208890,94A,94AA
USC00200779,94A,94AA
USW00014817,94A,94AA
USC00204502,94A,94AA
USC00202788,94A,94AA
USC00204399,94A,94AA
USC00204258,94A,94AA
USC00207684,94A,94AA
USC00204257,94A,94AA
USC00203099,94A,94AA
USW00054854,94A,94AA
USW00004854,94A,94AA
USC00203096,94A,94AA
USC00202381,94A,94AA
USC00200925,94A,94AA
USC00202503,94A,94AA
USC00206510,94A,94AA
USC00206507,94A,94AA
USW00014841,94A,94AA
USC00206442,94A,94AA
USC00201896,94A,94AA
USC00200197,93B,93B
USC00208680,93B,93B
USC00205690,93B,93B
USW00054813,93B,93B
USC00204104,93B,93B
USC00203639,93B,93B
USC00204130,93B,93B
USC00201435,93B,93B
USC00208706,93B,93B
USC00201439,93B,93B
USW00094850,93B,93B
USC00205406,93B,93B
USW00014838,93B,93B
USC00200718,93B,93B
USC00200089,93B,93B
USC00203744,93B,93B
USC00200770,93B,93B
USC00208345,93B,93B
USW00014858,93B,93B
USW00094899,93B,93B
USC00201780,93B,93B
USC00472240,93B,93B
USC00478750,93B,93B
USC00475286,93B,93B
USC00473800,93B,93B
USC00473332,93B,93B
USW00014913,93A,93A
USC00218421,93A,93A
USC00210989,93A,93A
USC00219134,93A,93A
USC00212645,93A,93A
USC00212576,93A,93A
USC00214918,93A,93A
USC00210387,93A,93A
USW00094992,93A,93A
USC00213282,93A,93A
USC00218311,93A,93A
USC00218307,93A,93A
USC00212543,93A,93A
USC00219101,93A,93A
